"party","parfam","partyname"
51701,70,"Reform UK"
51904,90,"Traditional Unionist Voice"
52620,60,"Unionist Party"
52710,70,"Nationalist Party"
52320,30,"Northern Ireland Labour Party"
53320,30,"Labour Party"
53520,50,"Family of the Irish"
53620,60,"Soldiers of Destiny"
53714,70,"Republican Party"
53810,80,"Party of the Land"
53220,20,"Workers’ Party"
53420,40,"Progressive Democrats"
53110,10,"Green Party"
53221,20,"Democratic Left Party"
53951,95,"We Ourselves"
53021,20,"United Left Alliance"
53230,20,"Socialist Party"
53231,20,"People Before Profit"
53240,20,"Anti-Austerity Alliance"
53250,20,"Workers and Unemployment Action"
53321,30,"Social Democrats"
53981,95,"Independent Alliance"
53240,20,"Solidarity"
53260,20,"RISE"
53270,20,"Independents 4 Change"
53952,90,"Unite"
54320,30,"Labour Party"
54620,60,"Nationalist Party"
54420,40,"Democratic Party"
55321,30,"Progressive Party of the Working People"
55322,30,"United Democratic Union of Center"
55421,40,"Liberal Party"
55422,40,"Democratic Party"
55423,40,"Free Democrats Movement"
55711,70,"Democratic Coalition"
55322,30,"Social Democrats' Movement"
55110,10,"Ecological and Environmental Movement"
55430,40,"European Party"
55110,10,"Movement of Ecologists - Citizens' Cooperation"
55340,30,"Citizens' Alliance"
55610,60,"Solidarity Movement"
55720,70,"National Popular Front"
61320,30,"Democratic Party"
61620,60,"Republican Party"
61621,60,"La Follette Progressive Party"
61622,20,"Progressive Party (H. Wallace)"
61911,90,"State’s Rights Party"
62320,30,"Cooperative Commonwealth Federation"
62420,40,"Liberal Party of Canada"
62620,60,"Progressive Conservative Party"
62951,95,"Social Credit"
62320,30,"New Democratic Party"
62621,60,"Reform Party of Canada"
62901,90,"Quebec Bloc"
62622,60,"Canadian Reform Conservative Alliance"
62623,60,"Conservative Party of Canada"
62110,10,"Green Party"
63320,30,"Australian Labor Party"
63620,60,"Liberal Party of Australia"
63810,80,"Country Party"
63330,30,"Australian Labor Party (Anti-Communist)"
63330,30,"Democratic Labor Party"
63810,80,"National Country Party"
63810,80,"National Party of Australia"
63321,30,"Australian Democrats"
63110,10,"Australian Greens"
63621,60,"Liberal National Party of Queensland"
63410,40,"Palmer United Party"
63622,60,"Country Liberal Party"
63710,70,"Katter's Australian Party"
63901,95,"Nick Xenophon Team"
63901,95,"Centre Alliance"
64320,30,"New Zealand Labour Party"
64620,60,"New Zealand National Party"
64951,95,"Social Credit Political League"
64951,95,"New Zealand Democratic Party"
64321,30,"The Alliance"
64621,70,"New Zealand First Party"
64420,40,"ACT New Zealand"
64110,10,"Green Party of Aotearoa New Zealand"
64421,40,"United Future New Zealand"
64422,40,"Jim Anderton’s Progressive Coalition"
64422,40,"Jim Anderton’s Progressive"
64901,90,"Māori Party"
64422,40,"Progressive Party"
64902,90,"Mana Party"
71220,20,"Japanese Communist Party"
71320,30,"Japan Socialist Party"
71321,30,"Democratic Socialist Party"
71620,60,"Liberal Democratic Party"
71530,50,"Clean Government Party"
71621,60,"New Liberal Club"
71322,30,"Social Democratic Federation"
71320,30,"Social Democratic Party of Japan"
71622,60,"Japan Renewal Party"
71951,95,"New Party Harbinger"
71952,95,"Japan New Party"
71320,30,"Social Democratic Party"
71623,60,"New Frontier Party"
71624,60,"Democratic Party of Japan"
71530,50,"New Clean Government Party"
71625,60,"Liberal Party"
71626,60,"New Conservative Party"
71420,40,"Liberal League"
71640,60,"Independent's Party"
71630,60,"People's New Party"
71410,40,"Your Party"
71953,40,"New Party Nippon"
71110,10,"Tomorrow Party of Japan"
71430,60,"Japan Restoration Party"
71650,90,"New Party Mother Earth"
71111,10,"People's Life Party"
71660,60,"(Japan Innovation Party"
71710,70,"Party for Future Generations"
71440,40,"Constitutional Democratic Party of Japan"
71627,60,"Party of Hope"
71210,20,"Reiwa Shinsengumi"
71628,60,"Democratic Party for the People"
71660,60,"Japan Innovation Party"
72220,20,"Israel Communist Party"
72311,30,"United Workers’ Party"
72324,30,"Worker's Party of the Land of Israel"
72420,40,"General Zionists’"
72531,50,"Union of Israel"
72620,60,"Freedom"
72325,30,"Unity of Labour"
72530,50,"National Religious Party"
72411,40,"Liberal Party"
72536,50,"Agudat Israel Workers"
72224,20,"New Communist Party"
72320,30,"Alignment"
72322,30,"Israel Workers’ List"
72410,40,"Progressive and Independent Liberal Party"
72621,60,"Herut-Liberal Bloc"
72610,60,"Free Centre"
72611,60,"State List"
72033,50,"Religious Torah Front"
72221,20,"Focus"
72310,30,"Citizens’ Rights Movement"
72622,60,"The Consolidation"
72223,20,"Peace for Israel"
72225,20,"Democratic Front for Peace and Equality"
72412,40,"Democratic Movement for Change"
72623,60,"Peace to Zion"
72413,40,"Change"
72532,50,"Movement for Israel’s Tradition"
72612,60,"Renaissance Movement"
72222,20,"Progressive List for Peace"
72414,40,"Together"
72425,40,"Courage"
72533,50,"Sephardi Torah Guardians"
72534,50,"Heritage"
72323,30,"Israeli Labour Party"
72613,60,"Crossroads - non-aligned movement for Zionist Renewal"
72614,60,"Torah Flag"
72615,60,"Homeland"
72326,30,"Meretz"
72535,50,"Torah Judaism"
72225,20,"Democratic National Party"
72427,40,"The Third Way"
72428,40,"Israel for Immigration"
72901,90,"United Arab List"
72312,30,"One Nation"
72327,30,"One Israel"
72415,40,"Center Party"
72535,50,"United Torah Judaism"
72624,60,"National Union"
72625,60,"Israel is Our Home"
72323,30,"Israeli Labour Party-Democratic State"
72903,90,"National Democratic Assembly"
72092,90,"United Arab List - Arab movement for revival"
72430,40,"Forward"
72951,95,"Pensioners Party"
72701,70,"The Jewish Home"
72431,40,"The Movement"
72440,40,"There is a Future"
72091,90,"Joint List"
72328,30,"Zionist Union"
72450,40,"All of us"
72041,40,"Blue and White"
72071,70,"United Right"
72031,30,"Labour - Gesher"
72032,30,"Democratic Camp"
72072,70,"Right"
72626,60,"New Hope"
72710,70,"Religious Zionist Party"
72093,90,"Democratic Front for Peace and Equality - Arab Movement for revival"
72455,40,"State Camp"
73330,60,"United National Party"
73310,30,"Sri Lanka Freedom Party"
74321,30,"Republican People’s Party"
74621,60,"Democratic Party"
74710,70,"Republican National Party"
74622,60,"Justice Party"
74712,70,"Republican Peasants' Nation Party"
74625,60,"Nation Party"
74712,70,"National Action Party"
74714,70,"National Salvation Party"
74322,30,"Populist Party"
74623,60,"Motherland Party"
74711,70,"Nationalist Democratic Party"
74323,30,"Social Democratic Populist Party"
74624,60,"True Path Party"
74715,70,"Welfare Party"
74324,30,"Democratic Left Party"
74626,70,"Grand Unity Party"
74627,60,"Democratic Turkey Party"
74716,70,"Virtue Party"
74628,60,"Justice and Development Party"
74326,30,"Democratic Society Party"
74325,30,"Peace and Democracy Party"
74210,20,"Peoples' Democratic Party"
74640,60,"Good Party"
74717,70,"Felicity Party"
75220,20,"Albanian Party of Labour"
75320,30,"Social Democratic Party of Albania"
75621,60,"People’s Party"
75623,95,"Legality Movement Party"
75624,60,"Democratic Party of Albania"
75722,70,"Albanian Republican Party"
75810,80,"Agrarian Party of Albania"
75951,90,"Democratic Union of the Greek Minority"
75220,20,"Albanian Socialist Party"
75421,40,"Democratic Alliance Party"
75622,70,"Party of National Unity"
75951,90,"Union for Human Rights Party"
75721,70,"National Front Party"
75721,70,"United Albanian Right"
75230,20,"Freedom Party of Albania"
75910,90,"Party for Justice, Integration and Unity"
76222,20,"Communist Party of Armenia"
76521,40,"National Self-Determination Union"
76711,40,"Republic"
76712,40,"National Democratic Union"
76901,95,"Semiramis (Women’s Movement)"
76321,30,"Armenian Revolutionary Federation"
76420,40,"Rule of Law"
76902,70,"Right and Unity"
76903,60,"Unity"
76322,30,"United Labour Party"
76421,40,"Justice"
76610,60,"Republican Party of Armenia"
76904,60,"National Unity Party"
76430,40,"Heritage"
76620,60,"Prosperous Armenia"
76041,40,"Armenian National Congress"
76042,40,"Way Out Alliance"
76044,40,"Tsarukyan Alliance"
76043,40,"My Step Alliance"
76435,40,"Bright Armenia"
76030,30,"Armenia Alliance"
76060,60,"I have honor"
76410,40,"Civil Contract"
77220,20,"New Azerbaijan Party"
77420,40,"Azerbaijan Popular Front"
77430,40,"Azerbaijan Democratic Entrepeneurs Party"
