manifesto_id,party,date,mean_score,std_score,n_sentences
64321_199911,64321,199911,0.9821,0.1327,223
64420_199911,64420,199911,0.9972,0.0532,352
64620_199911,64620,199911,0.9876,0.1108,161
64621_199911,64621,199911,0.9949,0.0714,585
64110_200207,64110,200207,1.0,0.0,72
64320_200207,64320,200207,0.9907,0.0962,2893
64420_200207,64420,200207,0.9911,0.1024,1230
64421_200207,64421,200207,0.9802,0.1393,101
64422_200207,64422,200207,0.9783,0.1458,92
64621_200207,64621,200207,0.9849,0.1219,1194
64110_200509,64110,200509,1.0,0.0,78
64320_200509,64320,200509,0.9812,0.1356,160
64420_200509,64420,200509,1.0,0.0,3
64422_200509,64422,200509,1.0,0.0,19
64620_200509,64620,200509,0.9932,0.0822,147
64901_200509,64901,200509,1.0,0.0,7
64110_200811,64110,200811,1.0,0.0,181
64320_200811,64320,200811,0.9958,0.0644,240
64420_200811,64420,200811,1.0,0.0,48
64421_200811,64421,200811,1.0,0.0,15
64422_200811,64422,200811,0.9844,0.124,64
64620_200811,64620,200811,0.9955,0.0673,220
64901_200811,64901,200811,0.9892,0.1031,279
64110_201111,64110,201111,0.9853,0.1204,68
64320_201111,64320,201111,0.9818,0.1336,110
64420_201111,64420,201111,1.0,0.0,196
64421_201111,64421,201111,1.0,0.0,65
64620_201111,64620,201111,0.9914,0.0921,5028
64621_201111,64621,201111,0.9943,0.0756,174
64901_201111,64901,201111,0.994,0.0772,334
64902_201111,64902,201111,0.9801,0.1396,352
64110_201409,64110,201409,0.9927,0.0854,3404
64320_201409,64320,201409,0.9928,0.0848,138
64420_201409,64420,201409,0.9949,0.0709,198
64421_201409,64421,201409,0.9921,0.0885,380
64620_201409,64620,201409,0.9863,0.1161,3588
64621_201409,64621,201409,0.9921,0.0885,1392
64901_201409,64901,201409,1.0,0.0,181
64110_201709,64110,201709,0.9919,0.0897,1724
64320_201709,64320,201709,0.982,0.1331,887
64420_201709,64420,201709,1.0,0.0,198
64620_201709,64620,201709,0.9847,0.1229,391
64621_201709,64621,201709,0.9952,0.0689,629
64901_201709,64901,201709,0.9946,0.0733,185
64110_202010,64110,202010,0.9891,0.1038,643
64320_202010,64320,202010,0.991,0.0946,443
64420_202010,64420,202010,0.993,0.0923,1283
64620_202010,64620,202010,0.9911,0.0937,1581
64621_202010,64621,202010,0.9934,0.0811,302
64901_202010,64901,202010,0.9949,0.0715,778
72903_200301,72903,200301,1.0,0.0,12
80220_199412,80220,199412,0.9968,0.0565,312
80410_199412,80410,199412,0.9884,0.1071,345
80811_199412,80811,199412,0.9909,0.0949,110
80951_199412,80951,199412,0.986,0.1174,143
92710_199110,92710,199110,1.0,0.0,88
92210_199309,92210,199309,1.0,0.0,63
92322_199309,92322,199309,0.9857,0.1187,70
92410_199309,92410,199309,1.0,0.0,16
92710_199309,92710,199309,0.9615,0.1923,26
92811_199309,92811,199309,0.9821,0.1324,56
96952_199006,96952,199006,1.0,0.0,38
96220_199206,96220,199206,1.0,0.0,108
181310_199404,181310,199404,0.9939,0.0776,165
181410_199404,181410,199404,0.9905,0.0971,210
181310_199906,181310,199906,0.9937,0.0789,319
181410_199906,181410,199906,0.9982,0.0425,553
181910_199906,181910,199906,1.0,0.0,58
181310_200404,181310,200404,0.9857,0.1187,70
181411_200404,181411,200404,0.9898,0.1007,586
181910_200404,181910,200404,0.9913,0.0926,231
181310_200904,181310,200904,0.993,0.0833,286
181411_200904,181411,200904,0.9884,0.1072,602
181420_200904,181420,200904,1.0,0.0,78
181910_200904,181910,200904,0.992,0.0888,377
181210_201405,181210,201405,0.9885,0.1065,436
181310_201405,181310,201405,0.9824,0.1317,510
181411_201405,181411,201405,0.9871,0.1127,622
181420_201405,181420,201405,0.9797,0.1409,148
181910_201405,181910,201405,0.9959,0.0643,241
181210_201905,181210,201905,0.9844,0.124,960
181310_201905,181310,201905,0.994,0.0771,502
181311_201905,181311,201905,0.9935,0.0802,309
181320_201905,181320,201905,0.9922,0.0877,129
181325_201905,181325,201905,0.9845,0.1235,129
181411_201905,181411,201905,0.9942,0.0759,1552
181420_201905,181420,201905,1.0,0.0,181
181510_201905,181510,201905,1.0,0.0,16
181520_201905,181520,201905,0.9964,0.0595,281
181710_201905,181710,201905,0.9957,0.0653,467
181910_201905,181910,201905,1.0,0.0,124
181980_201905,181980,201905,0.9802,0.1393,101
