manifesto_id,party,date,mean_score
181310_199404,181310,199404,0.1238
181410_199404,181410,199404,0.1508
181310_199906,181310,199906,0.0822
181410_199906,181410,199906,0.1315
181910_199906,181910,199906,0.1361
181310_200404,181310,200404,0.2866
181411_200404,181411,200404,0.1326
181910_200404,181910,200404,0.1456
181310_200904,181310,200904,0.1445
181411_200904,181411,200904,0.1453
181420_200904,181420,200904,0.0472
181910_200904,181910,200904,0.069
181210_201405,181210,201405,0.1216
181310_201405,181310,201405,0.1323
181411_201405,181411,201405,0.1458
181420_201405,181420,201405,0.193
181910_201405,181910,201405,0.2017
181210_201905,181210,201905,0.1196
181310_201905,181310,201905,0.1501
181311_201905,181311,201905,0.1338
181320_201905,181320,201905,0.1529
181325_201905,181325,201905,0.0426
181411_201905,181411,201905,0.1091
181420_201905,181420,201905,0.1021
181510_201905,181510,201905,0.25
181520_201905,181520,201905,0.0923
181710_201905,181710,201905,0.1045
181910_201905,181910,201905,0.1092
181980_201905,181980,201905,0.2107
